keyword,intent,page,target_country,season,priority,notes
Nepal trekking,informational,home,global,all,high,"Pillar content: overview of trekking in Nepal"
Everest Base Camp trek,transactional,trek-detail,global,pre-monsoon,high,"High volume — target with detailed guide and logistics"
Annapurna Circuit trek,transactional,trek-detail,global,autumn,high,"Long-tail guides, itinerary, maps, packing list"
Ghorepani Poon Hill trek,transactional,trek-detail,global,autumn,medium,"Short trek; high interest from casual trekkers"
Langtang trek,transactional,trek-detail,global,autumn,medium,"Nearby to Kathmandu, good for acclimatisation articles"
Manaslu trek,transactional,trek-detail,global,pre-monsoon,medium,"Permit info and restricted zones — must-have content"
Upper Mustang trek,transactional,trek-detail,global,autumn,medium,"Permits, desert landscapes — unique imagery"
Best time to trek in Nepal,informational,home,global,all,high,"Seasonality guide — pillar for SEO"
Nepal trekking permits,informational,trek-detail,global,all,high,"Detailed permit pages (TIMS, ACAP, etc.)"
Trek difficulty levels explained,informational,home,global,all,medium,"FAQ / education to reduce support requests"
Nepal family treks,transactional,trek-list,global,autumn,medium,"Market to families and older travelers"
Budget trekking Nepal,informational,home,global,all,medium,"Cost guides and sample budgets"
Best Nepal treks for beginners,transactional,trek-list,global,autumn,high,"Listicle with links to short trek pages"
Nepal trekking packing list,informational,trek-detail,global,all,high,"Downloadable checklist increases engagement"
Nepal trekking safety tips,informational,trek-detail,global,all,high,"Safety + AMS guidance; builds trust"
Kathmandu to Lukla flights,informational,trek-detail,global,all,medium,"Logistics and flight advice"
Nepal trekking companies,commercial,agency,global,all,medium,"Agency pages + trust signals"
Best trekking routes near Kathmandu,transactional,trek-list,global,autumn,medium,"Convenience-led searches"
Private vs group trek Nepal,informational,home,global,all,low,"Buyer guidance content"
Nepal trek altitude chart,informational,trek-detail,global,all,low,"Interactive charts improve dwell time"
